<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zar,20260504, 914000.00, 914000.00, 880102.00, 891541.00,5498389996530.00, 6167288,12784,D,908716.00,885297.00
Zar,20260503, 910000.00, 919000.00, 903799.00, 908716.00,3382281613057.00, 3722044,7479,D,894921.00,912975.00
Zar,20260502, 901000.00, 901000.00, 886000.00, 894921.00,3794163718232.00, 4239662,10029,D,871194.00,894929.00
Zar,20260429, 891000.00, 891950.00, 848344.00, 871194.00,5647541884387.00, 6482528,11203,D,810889.00,856480.00
Zar,20260428, 808000.00, 823488.00, 800601.00, 810889.00,4219641441884.00, 5203723,9747,D,755890.00,819800.00
Zar,20260427, 737500.00, 770327.00, 737500.00, 755890.00,3413653610953.00, 4516072,6621,D,731216.00,769740.00
Zar,20260426, 729000.00, 732399.00, 726693.00, 731216.00,1215733895356.00, 1662619,3780,D,726692.00,732000.00
Zar,20260425, 729900.00, 729900.00, 724232.00, 726692.00,661428143287.00, 910190,2249,D,726938.00,726000.00
Zar,20260422, 726986.00, 731000.00, 721001.00, 726938.00,765092317245.00, 1052487,2535,D,714346.00,728200.00
Zar,20260421, 718302.00, 718302.00, 712001.00, 714346.00,671835557506.00, 940490,3073,D,722026.00,713179.00
Zar,20260420, 725000.00, 725500.00, 719000.00, 722026.00,635530885133.00, 880205,2688,D,730087.00,719009.00
Zar,20260419, 741663.00, 741663.00, 721992.00, 730087.00,1017955695747.00, 1394293,3442,D,721721.00,723399.00
Zar,20260418, 719600.00, 727998.00, 716582.00, 721721.00,1260296692478.00, 1746237,4160,D,745083.00,727875.00
Zar,20260415, 758170.00, 758170.00, 739301.00, 745083.00,1760861121362.00, 2363307,4718,D,756682.00,741660.00
Zar,20260413, 751500.00, 759999.00, 751500.00, 756682.00,1161597459788.00, 1535119,2707,D,746968.00,756797.00
Zar,20260412, 748880.00, 752500.00, 742002.00, 746968.00,1317871134970.00, 1764295,3385,D,729976.00,743100.00
Zar,20260411, 738900.00, 738900.00, 726000.00, 729976.00,1098254738555.00, 1504508,4223,D,745828.00,726702.00
Zar,20260408, 752620.00, 755000.00, 734821.00, 745828.00,2071220852216.00, 2777074,4234,D,765983.00,751898.00
Zar,20260407, 752500.00, 771440.00, 752500.00, 765983.00,1687789483249.00, 2203429,3935,D,741695.00,767498.00
Zar,20260406, 741100.00, 744400.00, 738100.00, 741695.00,709830137154.00, 957038,2153,D,738834.00,742780.00
Zar,20260405, 747000.00, 749000.00, 733010.00, 738834.00,1377276225358.00, 1864122,2730,D,740956.00,737900.00
Zar,20260404, 717000.00, 752990.00, 715300.00, 740956.00,1548384922772.00, 2089711,3272,D,713106.00,746999.00
Zar,20260331, 711000.00, 715200.00, 711000.00, 713106.00,530354394026.00, 743724,1663,D,710490.00,714990.00
