<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kahroba,20260329, 166512.00, 166512.00, 161000.00, 162796.00,3179811354007.00, 19532471,8046,D,168066.00,162820.00
Kahroba,20260328, 169000.00, 171629.00, 166000.00, 168066.00,2910973966142.00, 17320389,7526,D,168365.00,166540.00
Kahroba,20260325, 165500.00, 169700.00, 164173.00, 168365.00,3375183248191.00, 20046853,6728,D,173211.00,167300.00
Kahroba,20260318, 167140.00, 176089.00, 167140.00, 173211.00,9170022972070.00, 52941342,10304,D,160081.00,176089.00
Kahroba,20260317, 151000.00, 163999.00, 151000.00, 160081.00,15507285482521.00, 96871384,9587,D,149836.00,163000.00
Kahroba,20260316, 147251.00, 155000.00, 147251.00, 149836.00,7933458350310.00, 52947491,12258,D,163612.00,153758.00
Kahroba,20260315, 163612.00, 163612.00, 163612.00, 163612.00,1574449401616.00, 9623068,2045,D,181791.00,163612.00
Kahroba,20260314, 0.00, 0.00, 0.00, 181791.00,0.00, 0,0,D,181791.00,180040.00
Kahroba,20260310, 0.00, 0.00, 0.00, 181791.00,0.00, 0,0,D,181791.00,180040.00
Kahroba,20260309, 0.00, 0.00, 0.00, 181791.00,0.00, 0,0,D,181791.00,180040.00
Kahroba,20260308, 0.00, 0.00, 0.00, 181791.00,0.00, 0,0,D,181791.00,180040.00
Kahroba,20260307, 0.00, 0.00, 0.00, 181791.00,0.00, 0,0,D,181791.00,180040.00
Kahroba,20260304, 0.00, 0.00, 0.00, 181791.00,0.00, 0,0,D,181791.00,180040.00
Kahroba,20260303, 0.00, 0.00, 0.00, 181791.00,0.00, 0,0,D,181791.00,180040.00
Kahroba,20260302, 0.00, 0.00, 0.00, 181791.00,0.00, 0,0,D,181791.00,180040.00
Kahroba,20260228, 0.00, 0.00, 0.00, 181791.00,0.00, 0,0,D,181791.00,180040.00
Kahroba,20260225, 185001.00, 185001.00, 179034.00, 181791.00,7090598796229.00, 39004073,23420,D,184064.00,180040.00
Kahroba,20260224, 184305.00, 184638.00, 182010.00, 184064.00,6641295730738.00, 36081425,15604,D,184305.00,183038.00
Kahroba,20260223, 185000.00, 185600.00, 183120.00, 184305.00,9409808239333.00, 51055493,17673,D,185402.00,183402.00
Kahroba,20260222, 185900.00, 186189.00, 184471.00, 185402.00,6341875412761.00, 34206093,15883,D,186711.00,186100.00
